id,first_name,second_name,web_name,team,element_type,now_cost,selected_by_percent,transfers_in,transfers_out,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,form,value_form,value_season,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,team_name,position,price,is_corner_taker,is_freekick_taker,is_penalty_taker,is_set_piece_taker
1,David,Raya Martín,Raya,1,1,60,37.7,270131,259215,12,6.0,180,0,0,2,0,0,0,1,0,45,17.4,0.0,0.0,1.8,6.0,1.0,2.0,,,,Arsenal,GK,6.0,0,0,0,0
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,50,0.1,845,2416,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Arsenal,GK,5.0,0,0,0,0
3,Illan,Meslier,Meslier,1,1,50,0.0,250,878,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Arsenal,GK,5.0,0,0,0,0
4,Gabriel,dos Santos Magalhães,Gabriel,1,2,80,25.8,98423,394775,13,6.5,180,0,0,2,0,1,0,0,0,44,24.8,5.0,7.0,3.6,6.5,0.8,1.6,,,,Arsenal,DEF,8.0,0,0,0,0
5,Jurriën,Timber,J.Timber,1,2,65,0.1,871,5256,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Arsenal,DEF,6.5,0,0,0,0
6,William,Saliba,Saliba,1,2,60,0.2,1868,11794,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Arsenal,DEF,6.0,0,0,0,0
7,Myles,Lewis-Skelly,Lewis-Skelly,1,3,55,0.7,17181,19958,6,3.0,160,0,0,2,0,0,0,0,0,30,21.6,26.1,12.0,6.0,3.0,0.5,1.1,,,,Arsenal,MID,5.5,0,0,0,0
8,Riccardo,Calafiori,Calafiori,1,2,57,44.1,720720,132805,20,10.0,170,0,2,2,0,0,0,0,2,61,47.2,24.1,13.0,8.4,10.0,1.8,3.5,,,,Arsenal,DEF,5.7,0,0,0,0
9,Piero,Hincapié,Hincapie,1,2,54,1.2,7985,70482,1,1.0,9,0,0,0,0,0,0,0,0,3,0.4,0.5,0.0,0.1,0.5,0.1,0.2,,,,Arsenal,DEF,5.4,0,0,0,0
10,Benjamin,White,White,1,2,55,7.2,276490,113289,18,9.0,180,0,1,2,0,0,0,0,3,63,49.6,47.1,13.0,11.0,9.0,1.6,3.3,,,,Arsenal,DEF,5.5,0,0,0,0
11,Cristhian,Mosquera,Mosquera,1,2,55,4.8,27753,124075,12,6.0,168,0,0,2,0,0,0,0,0,52,24.6,2.0,0.0,2.7,6.0,1.1,2.2,,,,Arsenal,DEF,5.5,0,0,0,0
12,Bukayo,Saka,Saka,1,3,95,10.7,196229,113397,20,10.0,157,2,0,2,0,0,0,0,4,82,83.8,34.1,77.0,19.5,10.0,1.1,2.1,2.0,2.0,1.0,Arsenal,MID,9.5,0,0,1,1
13,Declan,Rice,Rice,1,3,75,14.6,54032,356692,8,4.0,151,0,0,2,0,0,0,0,0,29,30.8,34.0,2.0,6.7,4.0,0.5,1.1,1.0,1.0,,Arsenal,MID,7.5,1,1,0,1
14,Eberechi,Eze,Eze,1,3,64,1.5,12583,77971,2,1.0,59,0,0,0,0,0,0,0,0,10,1.6,3.8,3.0,0.7,1.0,0.2,0.3,,3.0,,Arsenal,MID,6.4,0,0,0,0
15,Martin,Ødegaard,Ødegaard,1,3,66,11.1,390094,171025,14,7.0,145,1,0,2,0,0,0,0,3,54,57.4,48.3,36.0,14.2,7.0,1.1,2.1,4.0,4.0,3.0,Arsenal,MID,6.6,0,0,0,0
16,Noni,Madueke,Madueke,1,3,63,0.3,2457,14778,1,1.0,22,0,0,0,0,0,0,0,0,8,9.4,43.1,0.0,5.3,0.5,0.1,0.2,6.0,,,Arsenal,MID,6.3,0,0,0,0
17,Mikel,Merino Zazón,Merino,1,3,59,0.5,5173,27433,2,1.0,33,0,0,0,0,0,0,0,0,12,6.4,2.2,14.0,2.3,1.0,0.2,0.3,,,,Arsenal,MID,5.9,0,0,0,0
18,Gabriel,Martinelli Silva,Martinelli,1,3,63,0.2,2422,12159,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Arsenal,MID,6.3,0,0,0,0
19,Martín,Zubimendi Ibáñez,Zubimendi,1,3,54,0.8,4796,36989,2,1.0,27,0,0,0,0,0,0,0,0,8,8.6,3.2,0.0,1.2,1.0,0.2,0.4,,,,Arsenal,MID,5.4,0,0,0,0
20,Max,Dowman,Dowman,1,3,54,0.1,1027,4054,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Arsenal,MID,5.4,0,0,0,0
22,Ethan,Nwaneri,Nwaneri,1,3,54,0.0,233,667,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Arsenal,MID,5.4,0,0,0,0
23,Fábio,Ferreira Vieira,Fábio Vieira,1,3,55,0.0,255,460,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Arsenal,MID,5.5,0,0,0,0
24,Reiss,Nelson,Nelson,1,3,55,0.0,68,442,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Arsenal,MID,5.5,0,0,0,0
25,Viktor,Gyökeres,Gyökeres,1,4,73,4.9,15886,396397,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,Arsenal,FWD,7.3,0,0,0,0
26,Kai,Havertz,Havertz,1,4,75,6.9,248368,147519,8,4.0,180,1,0,2,0,0,0,0,0,39,39.6,16.6,48.0,10.4,4.0,0.5,1.1,,,,Arsenal,FWD,7.5,0,0,0,0
27,Gabriel,Fernando de Jesus,G.Jesus,1,4,59,0.3,4164,16336,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Arsenal,FWD,5.9,0,0,0,0
31,Ezri,Konsa Ngoyo,Konsa,1,2,44,10.6,243982,392729,1,1.0,11,0,0,0,0,0,0,0,0,3,3.2,0.1,0.0,0.3,0.5,0.1,0.2,,,,Arsenal,DEF,4.4,0,0,0,0
